investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
Accident,NYC82FHM06,1982-04-25,"LAGRANGE, NY",United States,,,,,Fatal(1),Destroyed,Airplane,N1796,Spezio,SPORT DAL-1,Yes,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-04-1983
Accident,NYC82FHJ04B,1982-04-25,"NEW YORK, NY",United States,,,,34TH HELIPORT,Non-Fatal,Minor,Helicopter,N49575,Bell,206L,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,4.0,VMC,Standing,Probable Cause,25-04-1983
Accident,NYC82FHD09,1982-04-25,"ESSINGTON, PA",United States,,,,PHILADELPHIA SPB,Non-Fatal,Destroyed,Airplane,N1552B,Luscombe,8F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,25-04-1983
Accident,NYC82DNC08,1982-04-25,"MOULTONBORO, NH",United States,,,,MOULTONBORO MUNI,Non-Fatal,Destroyed,Glider,N79RC,Schleicher,ASW-19,No,0.0,Unknown,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,25-04-1983
Accident,FTW82DA148,1982-04-25,"SLATON, TX",United States,,,,,Non-Fatal,Destroyed,Airplane,N8036A,Rand,KR-1 CATFISH,Yes,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,25-04-1983
Accident,CHI82FA135,1982-04-25,"SEBRING, OH",United States,,,,,Fatal(2),Destroyed,Airplane,N1422D,Dauntless,D52,Yes,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-04-1983
Accident,ATL82FKG12,1982-04-25,"ATLANTA, GA",United States,,,PDK,DEKALB-PEACHTREE,Non-Fatal,Destroyed,Airplane,N6823C,Cessna,421C,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,2.0,1.0,0.0,IMC,Landing,Probable Cause,25-04-1983
Accident,SEA82DA058,1982-04-25,"S. OF ECHO, OR",United States,,,,,Non-Fatal,Substantial,Airplane,N4897,Grumman,G-164A,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,25-04-1983
Accident,MKC82DA062,1982-04-25,"AMES, IA",United States,,,AMW,MUNICIPAL,Non-Fatal,Substantial,Airplane,N53BL,Homebuilt,MUSTANG II,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-04-1983
Accident,MIA82DA112,1982-04-25,"GAINESVILLE, FL",United States,,,GNV,GAINESVILLE REGIONAL,Non-Fatal,Substantial,Airplane,N38198,Beech,95-B55,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,25-04-1983
Accident,LAX82FVD14,1982-04-25,"HAYWARD, CA",United States,,,,HAYWARD AIR TERMINAL,Non-Fatal,Substantial,Airplane,N21551,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,25-04-1983
Accident,LAX82DUG11,1982-04-25,"LUCERNE, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N93747,Bellanca,300A,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-04-1983
Accident,FTW82FRA18,1982-04-25,"LEAGUE CITY, TX",United States,,,,HOUSTON GULF,Non-Fatal,Substantial,Airplane,N1838F,Beech,A36TC,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,3.0,0.0,VMC,Takeoff,Probable Cause,25-04-1983
Accident,FTW82DA149,1982-04-25,"DELAPLANE, AR",United States,,,,PRIVATE,Non-Fatal,Substantial,Airplane,N3588S,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,25-04-1983
Accident,CHI82DA139,1982-04-25,"CORTLAND, OH",United States,,,YNG,DENMAN,Non-Fatal,Substantial,Airplane,N45476,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,25-04-1983
Accident,CHI82DA134,1982-04-25,"DODGEVILLE, WI",United States,,,550,DODGEVILLE MUNICIPAL,Non-Fatal,Substantial,Airplane,N71834,Luscombe,8A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-04-1983
Accident,CHI82DA133,1982-04-25,"BRAZIL, IN",United States,,,012,ARTHUR,Non-Fatal,Substantial,Airplane,N6308A,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,25-04-1983
Accident,ATL82DA115,1982-04-25,"LOUISVILLE, KY",United States,,,,,Non-Fatal,Substantial,Airplane,N1227P,Piper,PA-23,No,2.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,25-04-1983
Accident,ATL82DA114,1982-04-25,"SOCIETY HILL, SC",United States,,,,,Non-Fatal,Substantial,Airplane,N3971S,Cessna,172E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,25-04-1983
Accident,ANC82DAG18,1982-04-25,"BIG LAKE, AK",United States,,,,BIG LAKE,Non-Fatal,Substantial,Airplane,N170DM,Cessna,170,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause,25-04-1983
Accident,NYC82FHJ04A,1982-04-25,"NEW YORK, NY",United States,,,,34TH HELIPORT,Non-Fatal,Substantial,Helicopter,N16696,Bell,206L,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,4.0,VMC,Standing,Probable Cause,25-04-1983
Accident,MKC82FCD07,1982-04-26,"FAIRFIELD, IA",United States,,,FFL,FAIRFIELD MUNICIPAL,Fatal(1),Substantial,Airplane,N5035N,Bellanca,8KCAB,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,26-04-1983
Accident,LAX82DA148,1982-04-26,"HUNTINGTON BEAC, CA",United States,,,18L,PLATFORM EMMY,Non-Fatal,Substantial,Helicopter,N7950S,Bell,206A,No,1.0,Turbo Shaft,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,26-04-1983
Accident,FTW82DA154,1982-04-26,"ALBUQUERQUE, NM",United States,,,,CORONADO,Non-Fatal,Substantial,Airplane,N39669,Piper,PA-44-180,No,2.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,26-04-1983
Accident,FTW82DA150,1982-04-26,"HOUSTON, TX",United States,,,,CYPRESS (CLOSED),Non-Fatal,Substantial,Helicopter,N5784Y,Aerospatiale,AS-350D,No,1.0,Turbo Shaft,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,26-04-1983
Accident,DEN82DA072,1982-04-26,"GRANGER, WY",United States,,,,,Non-Fatal,Substantial,Helicopter,N629H,Enstrom,280-C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,26-04-1983
Accident,ATL82FID07,1982-04-26,"HOT SPRINGS, VA",United States,,,HSP,INGALLS,Non-Fatal,Substantial,Airplane,N37990,Beech,90,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,IMC,Landing,Probable Cause,26-04-1983
Accident,NYC82FA080,1982-04-27,"NEW RINGGOLD, PA",United States,,,,,Fatal(4),Destroyed,Helicopter,N1022H,Mbb,BO-105C,No,2.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,4.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,27-04-1983
Accident,FTW82FRA19,1982-04-27,"CHAPELL HILL, TX",United States,,,,,Fatal(1),Destroyed,Airplane,N1774B,Boeing,A75,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,27-04-1983
Accident,FTW82FA152,1982-04-27,"ROANOKE, TX",United States,,,52F,AERO VALLEY,Fatal(2),Destroyed,Airplane,N6502T,Beech,B23,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,27-04-1983
Accident,CHI82DA138,1982-04-27,"NEW LONDON, WI",United States,,,83C,NEW LONDON,Non-Fatal,Destroyed,Airplane,N68710,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-04-1983
Accident,ATL82FKQ12,1982-04-27,"MAGEE, MS",United States,,,,,Fatal(1),Destroyed,Helicopter,N8469E,Bell/soloy,47G-3B,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,1.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,27-04-1983
Accident,NYC82DA079,1982-04-27,"NEW CASTLE, PA",United States,,,UCP,NEW CASTLE MUNICIPAL,Non-Fatal,Substantial,Airplane,N31EH,Piper,601P,No,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,4.0,IMC,Approach,Probable Cause,27-04-1983
Accident,FTW82DA151,1982-04-27,"LAKE DALLAS, TX",United States,,,30F,LAKEVIEW,Non-Fatal,Substantial,Airplane,N42050,Piper,PA-23-250T,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-04-1983
Accident,CHI82DA142,1982-04-27,"LANCASTER, OH",United States,,,I15,FAIRFIELD COUNTY,Non-Fatal,Substantial,Airplane,N6739B,Piper,PA-22-150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-04-1983
Accident,MIA82DLA05,1982-04-27,"DELAND, FL",United States,,,,DELAND MUNICIPAL,Fatal(1),Substantial,Glider,N29826,Raz-mut,440A,Yes,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,27-04-1983
Accident,DEN82DA073,1982-04-27,"COALVILLE, UT",United States,,,,,Non-Fatal,Substantial,Helicopter,N8684F,Hughes,369D (500D),No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,27-04-1983
Accident,FTW82FA155,1982-04-28,"HOUSTON, TX",United States,,,,WILLIAM P. HOBBY,Fatal(1),Destroyed,Airplane,N411HN,Cessna,411A,No,2.0,Reciprocating,Part 91: General Aviation,,Ferry,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,28-04-1983
Accident,DEN82FA074,1982-04-28,"HAKALAU, HI",United States,,,,,Fatal(2),Destroyed,Airplane,N6911,Beech,E18S,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Island Airlines Hawaii, Ltd.",2.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,28-04-1983
Accident,SEA82DA060,1982-04-28,"CAMAS, WA",United States,,,WA10,PORT OF CAMAS,Non-Fatal,Substantial,Airplane,N3691J,Cessna,150G,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-04-1983
Accident,NYC82DA081,1982-04-28,"MADISON, CT",United States,,,,GRISWOLD,Non-Fatal,Substantial,Airplane,N1147W,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-04-1983
Accident,LAX82FUJ40,1982-04-28,"TEEC NOS POS, AZ",United States,,,,,Non-Fatal,Substantial,Helicopter,N1089S,Hughes,369D,No,1.0,Turbo Shaft,Part 91: General Aviation,,Business,,0.0,1.0,2.0,0.0,VMC,Cruise,Probable Cause,28-04-1983
Accident,LAX82DA166,1982-04-28,"MODESTO, CA",United States,,,MOD,HARRY SHAM FIELD,Non-Fatal,Substantial,Airplane,N1105C,Cessna,177B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-04-1983
Accident,LAX82DA149,1982-04-28,"LITCHFIELD PARK, AZ",United States,,,,,Non-Fatal,Substantial,Airplane,N5434D,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-04-1983
Accident,CHI82DA140,1982-04-28,"RIDGEVILLE, WI",United States,,,,,Non-Fatal,Substantial,Airplane,N5204M,Beech,BE-19,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,28-04-1983
Accident,DEN82FTM11,1982-04-28,"VERMAL, UT",United States,,,SLC,VERMAL,Non-Fatal,Substantial,Helicopter,N48217,Bell,47G-3B-1,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,3.0,0.0,0.0,VMC,Approach,Probable Cause,28-04-1983
Accident,FTW82FA156,1982-04-29,"PORTLAND, TX",United States,,,9R5,HUNT,Non-Fatal,Destroyed,Airplane,N133TS,Smith,AEROSTAR 600,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Descent,Probable Cause,29-04-1983
Accident,FTW82DA160,1982-04-29,"OBERLIN, LA",United States,,,,AG STRIP,Non-Fatal,Destroyed,Airplane,N5409,Grumman,G-164A,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-04-1983
Accident,CHI82FA141,1982-04-29,"KENOSHA, WI",United States,,,,,Fatal(2),Destroyed,Airplane,N48732,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,29-04-1983
Accident,NYC82FHD10,1982-04-29,"TOMS RIVER, NJ",United States,,,,R.J. MILLER,Non-Fatal,Substantial,Airplane,N9740Y,Cessna,210B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-04-1983
Accident,NYC82FGT14,1982-04-29,"LANCASTER, PA",United States,,,,LANCASTER,Non-Fatal,Substantial,Airplane,N3DY,Christian,EAGLE II,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,29-04-1983
Accident,MKC82DA065,1982-04-29,"OSCEOLA, IA",United States,,,K37,OSCEOLA MUNICIPAL,Non-Fatal,Substantial,Airplane,N58690,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-04-1983
Accident,MKC82DA064,1982-04-29,"ESTHERVILLE, IA",United States,,,EST,ESTHERVILLE MUNI,Non-Fatal,Substantial,Airplane,N2134R,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-04-1983
Accident,LAX82DA152,1982-04-29,"LATHROP WELLS, NV",United States,,,,,Non-Fatal,Substantial,Airplane,N7058E,Cessna,175A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Descent,Probable Cause,29-04-1983
Accident,LAX82DA150,1982-04-29,"DEETH, NV",United States,,,,,Non-Fatal,Substantial,Airplane,N8943,Bellanca,7GCBC,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-04-1983
Accident,ATL82DA124,1982-04-29,"LEONARDTOWN, MD",United States,,,2W6,ST. MARY'S COUNTY,Non-Fatal,Substantial,Airplane,N5919J,Cessna,A150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-04-1983
Accident,ANC82DAG19,1982-04-29,"BIRCHWOOD, AK",United States,,,Z15,BIRCHWOOD,Non-Fatal,Substantial,Airplane,N57617,Piper,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,29-04-1983
Accident,NYC82FA083,1982-04-29,"NEW YORK CITY, NY",United States,,,,,Non-Fatal,Substantial,Helicopter,N16959,Bell,206L,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,6.0,VMC,Cruise,Probable Cause,29-04-1983
Accident,LAX82DA151,1982-04-29,"TERMINAL ISLAND, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N1573W,Beech,V35B,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,29-04-1983
Accident,ANC82DA038,1982-04-29,"NEW STUYAHOK, AK",United States,,,KNW,NEW STUYAHOK,Non-Fatal,Substantial,Airplane,N6274H,Cessna,207,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Richard K. Armstrong,0.0,0.0,2.0,4.0,IMC,Takeoff,Probable Cause,29-04-1983
Accident,DEN82FA075,1982-04-30,"WHEATLAND, WY",United States,,,EAN,PHIFER,Fatal(1),Destroyed,Airplane,N6695P,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,3.0,0.0,0.0,VMC,Approach,Probable Cause,30-04-1983
Incident,ATL82IA121,1982-04-30,"ENTERPRISE, AL",United States,,,93J,ENTERPRISE MUNICIPAL,Incident,Minor,Airplane,N53RT,Piper,PA-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Huntsville Aviation,0.0,0.0,0.0,7.0,VMC,Takeoff,Probable Cause,30-04-1983
Accident,ATL82DA117,1982-04-30,"WHITE SULPHUR S, WV",United States,,,SSU,WHITE SULPHUR SPRINGS,Non-Fatal,Destroyed,Airplane,N49924,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,1.0,1.0,VMC,Climb,Probable Cause,30-04-1983
Accident,LAX82DA153,1982-04-30,"MARKLEEVILLE, CA",United States,,,Q82,ALPINE COUNTY,Non-Fatal,Substantial,Airplane,N31825,Cessna,182E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,30-04-1983
Accident,FTW82FPD11,1982-04-30,"CARSWELL, TX",United States,,,,,Fatal(1),Substantial,Airplane,N4889H,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,30-04-1983
Accident,FTW82DA159,1982-04-30,"VICTORIA, TX",United States,,,,,Non-Fatal,Substantial,Airplane,N186T,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Climb,Probable Cause,30-04-1983
Accident,DEN82DA076,1982-04-30,"LARAMIE, WY",United States,,,LAR,,Non-Fatal,Substantial,Airplane,N24166,Funk Aircraft Co.,B75L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,30-04-1983
Accident,CHI82DA143,1982-04-30,"BATAVIA, OH",United States,,,I69,CLERMONT COUNTY,Non-Fatal,Substantial,Gyrocraft,N91760,Benson,BM8,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-04-1983
Accident,NYC82DHD11,1982-05-01,"NEW EGYPT, NJ",United States,,,,,Non-Fatal,Destroyed,Helicopter,N1002P,Bell,47G,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,01-05-1983
Incident,MKC82IA070,1982-05-01,"AVA, MO",United States,,,73K,BILL MARTIN MEMORIAL,Incident,Minor,Airplane,N9783R,Beech,M35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,01-05-1983
Accident,LAX82FA156B,1982-05-01,"CAMARILLO, CA",United States,,,CMA,CAMARILLO,Non-Fatal,Minor,Airplane,N7254L,Grumman,AA-1A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,1.0,VMC,Approach,Probable Cause,01-05-1983
Accident,LAX82DA154,1982-05-01,"NORTH LAS VEGAS, NV",United States,,,,,Non-Fatal,Destroyed,Helicopter,N9336F,Hughes,269B,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,01-05-1983
Accident,FTW82DA174,1982-05-01,"ERICK, OK",United States,,,,,Non-Fatal,Destroyed,Airplane,N5186N,Boeing,E75,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,01-05-1983
Accident,CHI82FA144,1982-05-01,"BOWLING GREEN, OH",United States,,,1G0,WOOD COUNTY,Fatal(4),Destroyed,Airplane,N40999,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,01-05-1983
Accident,CHI82DA147,1982-05-01,"PENDLETON, IN",United States,,,IN31,HUNTZINGER,Non-Fatal,Destroyed,Airplane,N98L,Mong Sport,MS-1,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,01-05-1983
Accident,ATL82DA123B,1982-05-01,"MARIETTA, GA",United States,,,8A4,MCCOLLUM,Non-Fatal,Minor,Airplane,N74189,Boeing,A75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,01-05-1983
Accident,SEA82DA063,1982-05-01,"SALMON, ID",United States,,,SMN,SALMON,Non-Fatal,Substantial,Airplane,N28492,Grumman,AA-5B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,01-05-1983
Accident,NYC82DA088,1982-05-01,"FARMINGDALE, NY",United States,,,FRG,FARMINGDALE,Non-Fatal,Substantial,Airplane,N8355P,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-05-1983
Accident,MKC82DA067,1982-05-01,"NEVADA, IA",United States,,,1Y4,MUNICIPAL,Non-Fatal,Substantial,Airplane,N11894,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,01-05-1983
Accident,MIA82FA115,1982-05-01,"FT. PIERCE, FL",United States,,,FPR,ST. LUCIE COUNTY,Non-Fatal,Substantial,Helicopter,N90249,Robinson,R-22,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,01-05-1983
Accident,LAX82FA156A,1982-05-01,"CAMARILLO, CA",United States,,,CMA,CAMARILLO,Non-Fatal,Substantial,Airplane,N24584,Beech,A24R,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,2.0,1.0,VMC,Approach,Probable Cause,01-05-1983
Accident,LAX82DA157,1982-05-01,"CHANDLER, AZ",United States,,,P19,STELLER AIRPARK,Non-Fatal,Substantial,Airplane,N82016,Piper,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,01-05-1983
Accident,FTW82DA157,1982-05-01,"HARRISON, AR",United States,,,HRO,BOONE COUNTY,Non-Fatal,Substantial,Airplane,N704EY,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,01-05-1983
Accident,DEN82DA080,1982-05-01,"ERIE, CO",United States,,,48V,ERIE AIRPARK,Non-Fatal,Substantial,Airplane,N13845,Piper,PA-23,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,01-05-1983
Accident,DEN82DA077,1982-05-01,"HANKSVILLE, UT",United States,,,U07,BULLFROG BASIN,Non-Fatal,Substantial,Airplane,N6032Q,Mooney,M20E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,01-05-1983
Accident,CHI82DA148,1982-05-01,"DILLSBORO, IN",United States,,,,,Non-Fatal,Substantial,Airplane,N8940A,Beech,C35,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,01-05-1983
Accident,ATL82DA123A,1982-05-01,"MARIETTA, GA",United States,,,8A4,MCCOLLUM,Non-Fatal,Substantial,Airplane,N3715S,Cessna,172E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,01-05-1983
Accident,ATL82DA119,1982-05-01,"COLUMBUS, MS",United States,,,,PRIVATE FARM FIELD,Non-Fatal,Substantial,Airplane,N9557G,Cessna,A188,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,01-05-1983
Accident,ATL82DA118,1982-05-01,"TIMMONSVILLE, SC",United States,,,,LOCKHART,Non-Fatal,Substantial,Airplane,N3192Z,Piper,PA-18A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,01-05-1983
Accident,LAX82DA156,1982-05-01,"NORTH LAS VEGAS, NV",United States,,,,,Non-Fatal,Substantial,Helicopter,N90764,Robinson,R-22HP,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,01-05-1983
Accident,FTW82DA163,1982-05-01,"RACHAL, TX",United States,,,,,Non-Fatal,Substantial,Airplane,N4955F,Cessna,TU-206A,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,UNK,Unknown,Probable Cause,01-05-1983
Accident,NYC82DA085,1982-05-02,"BLOOMSBURG, PA",United States,,,N13,BLOOMSBURG,Non-Fatal,Destroyed,Airplane,N4540K,Rayan,NAV-4,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,02-05-1983
